"Standard","Technique"
"9.659245","6.565471"
"9.133597","6.478230"
"8.849146","5.593719"
"8.927223","5.746208"
"8.808457","5.298637"
"8.904130","5.345557"
"9.017397","5.465789"
"9.114536","5.487416"
"8.980008","5.349956"
"9.042690","5.570625"
"9.014831","5.661899"
"9.042690","5.659700"
"9.073481","5.603249"
"9.028027","5.437564"
"9.033892","5.448927"
"9.257128","5.496213"
"9.118934","5.418136"
"9.076780","5.422901"
"9.442241","5.431332"
"9.213507","5.382213"
"9.045256","5.485950"
"8.892766","5.617545"
"9.012998","6.253528"
"8.915493","5.785797"
"9.726692","5.709185"
"9.253096","5.451860"
"8.947750","5.461024"
"9.121134","6.151624"
"9.703599","5.729713"
"9.707631","5.405306"
"8.852811","5.382213"
"9.083011","5.358020"
"9.230735","5.379281"
"9.222671","5.552297"
"9.112703","5.820253"
"9.091076","5.537268"
"9.091809","5.662999"
"9.186015","5.590053"
"10.001979","5.542767"
"8.955815","5.503178"
"9.019963","5.385512"
"8.904863","5.418136"
"9.011532","5.450393"
"9.135796","5.478985"
"9.191147","5.351055"
"9.009333","5.380014"
"9.009333","5.738877"
"8.981841","5.637706"
"8.916959","5.559995"
"9.003101","5.638072"
"8.944451","5.356920"
"8.902297","5.368284"
"9.129565","5.457725"
"9.302215","5.404940"
"9.207275","5.426933"
"9.145327","5.602883"
"9.192613","6.130730"
"11.847980","5.494747"
"9.367829","5.646503"
"9.161455","5.674362"
"9.034625","5.645770"
"9.205443","5.662632"
"8.941885","5.715783"
"9.095108","5.669597"
"9.083011","5.745841"
"9.148626","5.554863"
"8.973776","5.370116"
"9.081545","5.382580"
"9.239533","5.400541"
"9.014831","5.387345"
"9.763715","5.458458"
"9.207642","5.359486"
"9.140195","5.458091"
"8.875171","5.666298"
"9.132131","5.570259"
"8.566527","5.463956"
"8.540868","5.252817"
"8.948484","5.254283"
"8.757139","5.318065"
"8.789030","5.455892"
"8.877737","5.531770"
"8.913294","5.792028"
"8.520707","5.562194"
"8.584489","5.523339"
"8.631775","5.244386"
"8.766669","5.233756"
"8.896798","5.345923"
"9.863419","5.530304"
"8.864175","5.248785"
"8.666598","5.557429"
"9.552942","5.510509"
"8.518508","5.357653"
"8.704354","5.309267"
"8.849146","5.276277"
"8.857576","5.385512"
"8.830451","5.201499"
"8.725248","5.498413"
"8.584489","5.977508"
"8.980741","5.643571"
"8.819454","5.390277"
