"Standard","Technique","Technique with encode/decode every 50 operations"
"70.380417","70.990741","74.735893"
"67.152849","69.586079","72.750233"
"67.225428","69.928814","76.248690"
"70.603652","71.482299","76.241358"
"71.300485","69.940910","75.447021"
"70.986709","70.189072","75.675755"
"68.934701","68.249599","73.297142"
"67.121691","68.381194","74.000572"
"67.166411","70.873441","72.425093"
"68.509857","68.246300","75.978168"
"70.642141","68.051289","72.907854"
"71.017866","70.705190","73.828288"
"69.138509","69.615038","72.460283"
"67.361055","69.889958","73.973813"
"68.060453","70.843383","72.800452"
"67.068906","67.088334","76.948088"
"68.874218","68.880450","72.716143"
"69.445687","67.823655","72.731538"
"70.493684","69.055299","76.121859"
"69.036971","67.135254","72.684252"
"66.877195","67.840883","72.150173"
"67.940588","68.118370","75.916952"
"67.427769","69.568485","74.605764"
"68.207444","67.489351","75.963872"
"69.988563","67.984209","72.110584"
"68.793575","71.389925","74.478934"
"67.449030","72.738503","77.113407"
"70.975712","68.941299","75.491008"
"68.040659","68.681774","72.581248"
"67.979443","69.108084","74.358335"
"67.424470","66.973234","72.154571"
"69.645829","70.629678","76.162914"
"70.413407","71.203713","76.346561"
"70.444932","68.852591","76.040850"
"66.664956","71.994018","76.776171"
"66.972867","66.990096","75.010080"
"69.260207","71.108407","77.028731"
"71.416684","71.602897","77.721531"
"67.359589","68.735292","73.531741"
"72.085658","68.400988","76.260053"
"70.226461","71.759785","73.360190"
"68.115804","67.988607","74.879218"
"68.238602","69.274503","74.041627"
"67.821456","71.743657","74.626291"
"68.002903","70.752110","73.556667"
"71.741824","71.299751","76.343262"
"70.465459","68.221007","72.392103"
"68.480532","69.809682","73.205868"
"67.682162","72.271871","75.709479"
"66.964436","68.325110","74.393892"
"67.352624","67.098964","72.081992"
"67.798729","67.946086","73.607619"
"70.487086","68.640352","76.013724"
"70.425137","70.577260","73.796031"
"70.851814","72.103619","76.636144"
"71.211410","68.804938","72.256109"
"70.262018","69.976100","72.161903"
"66.786654","67.649905","76.654472"
"70.726084","69.127145","76.232927"
"71.498794","67.828787","77.206880"
"68.174087","71.034361","74.200347"
"69.145473","71.349237","76.797065"
"71.305250","71.215809","74.693738"
"67.450496","68.068518","75.735138"
"67.264650","69.437622","72.129279"
"67.826221","70.473157","76.782036"
"68.016099","67.411641","73.311071"
"69.777058","71.038394","76.749778"
"70.281445","71.462504","76.560633"
"68.924071","66.996327","72.120848"
"69.983065","70.102197","72.192327"
"67.167878","71.755020","76.966049"
"71.387360","70.969480","72.722008"
"67.202334","66.963703","72.169234"
"66.864732","66.967002","72.115716"
"68.083913","67.164578","72.221285"
"68.875685","70.462893","72.240347"
"66.703811","67.287010","77.251233"
"68.198280","67.870208","72.151639"
"67.461493","68.495561","76.891637"
"70.693460","70.953718","76.769939"
"70.840817","71.292787","76.117094"
"70.508347","71.282523","77.473003"
"66.300228","66.996694","72.340051"
"68.131566","71.200780","73.849549"
"66.635998","69.951174","76.470092"
"70.880039","67.677031","72.204424"
"70.805994","69.305660","73.343695"
"67.120225","66.991928","72.320257"
"66.788854","68.383393","72.804484"
"66.247443","69.517899","72.699647"
"67.129755","66.979832","73.116794"
"69.728305","70.996606","74.343306"
"70.749544","70.824689","76.944422"
"71.418884","69.256541","73.724552"
"70.626013","67.499249","73.239958"
"68.465136","68.580603","75.846572"
"70.774470","70.360256","75.877730"
"67.819989","67.446830","75.341085"
"68.344171","70.212899","73.740314"
