"Standard","Technique","Technique with encode/decode every 50 operations"
"161.229592","99.483516","155.204431"
"155.191968","101.566315","155.470188"
"182.934026","100.514651","157.745431"
"154.116112","99.696488","154.611336"
"152.097095","108.376649","153.410849"
"152.144014","100.294715","160.456881"
"163.163933","102.556395","159.271057"
"151.858830","99.287772","152.293571"
"154.297559","97.752615","157.143171"
"152.727213","101.328417","155.946717"
"152.006188","99.443927","156.699266"
"163.103084","103.776310","165.581402"
"152.189468","106.989582","154.942707"
"152.536968","107.030271","153.510920"
"158.527672","102.174072","158.257883"
"154.208119","98.079588","154.531425"
"155.380380","112.976621","151.624598"
"157.348812","101.769756","153.867584"
"155.061839","99.100093","153.725358"
"168.476866","106.015997","152.591585"
"157.518896","102.021583","160.737667"
"155.570625","101.776720","154.076523"
"152.012786","100.179615","154.280331"
"157.160766","98.699076","160.994260"
"152.706319","100.463699","161.193669"
"151.561183","111.693658","151.473208"
"158.184937","102.576190","154.702243"
"153.866850","111.942553","158.163677"
"152.599650","101.435086","153.203742"
"161.109726","102.078400","158.017786"
"156.611658","98.177093","152.840847"
"155.601783","102.369083","156.065482"
"165.351202","98.929642","155.674729"
"168.941666","105.083099","160.285331"
"160.692947","112.176785","154.173662"
"159.175385","99.757337","155.229724"
"159.845458","98.821507","154.470943"
"152.571058","115.210443","156.041289"
"155.260515","97.474396","165.096809"
"160.135408","102.331694","154.728635"
"152.400974","108.014486","156.219071"
"154.710307","102.888500","156.945962"
"155.825385","98.634927","155.228257"
"152.280375","103.165986","153.458502"
"154.978263","101.930309","156.715028"
"158.140217","99.178171","155.304869"
"156.690102","102.772300","156.525883"
"153.661576","98.759558","159.221205"
"152.329128","101.476141","158.230024"
"157.440452","101.354809","156.160422"
"167.539204","97.981349","157.840004"
"154.833471","106.751318","159.027661"
"152.521206","101.323285","157.818743"
"152.207429","102.002888","152.558228"
"177.509292","97.736853","154.432820"
"152.866872","108.597685","152.008753"
"158.533170","100.299114","158.061040"
"155.177305","101.795782","158.679428"
"152.420035","99.373914","153.627120"
"157.436420","101.791016","155.114990"
"151.353343","99.347888","154.191257"
"151.563015","102.006554","150.910904"
"155.564394","97.909870","152.065937"
"160.641995","101.520494","160.392000"
"153.192745","108.723049","154.002845"
"151.957802","109.069449","160.538991"
"155.676928","98.282662","157.521829"
"152.841213","98.692844","152.480517"
"177.456874","99.107791","155.874138"
"156.110569","102.304935","157.517430"
"152.550164","99.811588","154.852899"
"155.812189","98.449448","161.464557"
"153.899841","110.707609","175.022543"
"156.462468","110.022140","159.591431"
"155.995836","98.885288","151.083187"
"152.972442","97.411347","160.016642"
"156.492526","102.682492","152.186902"
"151.567414","99.410570","152.900229"
"163.202789","104.439418","157.715006"
"155.778465","101.949737","161.115225"
"156.623388","109.739155","161.577091"
"160.764426","100.554973","151.716604"
"152.367617","99.646635","153.017896"
"175.610507","101.817042","157.248741"
"158.742843","102.068503","151.733466"
"156.444506","102.578389","154.766024"
"155.692690","101.867994","158.360153"
"158.849879","112.932633","155.808523"
"152.480517","106.829395","150.597861"
"154.398730","101.170795","150.873515"
"171.119037","106.391722","165.298051"
"152.344157","97.938462","157.746897"
"161.156646","106.375226","149.807189"
"167.594554","97.507386","154.667419"
"151.734566","107.166265","155.164476"
"151.699376","107.136940","158.171741"
"173.625214","97.993446","151.700109"
"153.807468","98.730966","149.435863"
"163.715974","97.912069","151.961834"
"153.683570","103.314443","157.129242"
