"training index","error","cost","weight","bias","dCost/dWeight","dCost/dBias","dCost/dInput"
"0","0.533758","0.154650","0.300000","0.500000","0.073796","0.029434","0.008830",
"2040","0.054967","0.001527","-5.700018","2.738621","0.001151","-0.000581","0.003314",
"4080","0.037621","0.000715","-6.494449","3.139216","0.000549","-0.000277","0.001796",
"6120","0.030274","0.000463","-6.944088","3.365402","0.000359","-0.000180","0.001252",
"8160","0.025993","0.000341","-7.257813","3.523044","0.000266","-0.000133","0.000968",
"10200","0.023112","0.000270","-7.498578","3.643947","0.000211","-0.000106","0.000793",
"12240","0.021008","0.000223","-7.693826","3.741947","0.000174","-0.000088","0.000673",
"14280","0.019384","0.000190","-7.857970","3.824307","0.000149","-0.000075","0.000586",
"16320","0.018083","0.000165","-7.999520","3.895311","0.000130","-0.000065","0.000520",
"18360","0.017011","0.000146","-8.123922","3.957700","0.000115","-0.000058","0.000468",
"20400","0.016108","0.000131","-8.234849","4.013319","0.000103","-0.000052","0.000426",
"22440","0.015334","0.000119","-8.334939","4.063497","0.000093","-0.000047","0.000391",
"24480","0.014660","0.000109","-8.426115","4.109197","0.000086","-0.000043","0.000361",
"26520","0.014068","0.000100","-8.509837","4.151175","0.000079","-0.000039","0.000336",
"28560","0.013541","0.000093","-8.587198","4.189946","0.000073","-0.000037","0.000314",
"30600","0.013069","0.000086","-8.659113","4.225966","0.000068","-0.000034","0.000295",
"32640","0.012643","0.000081","-8.726322","4.259666","0.000064","-0.000032","0.000279",
"34680","0.012255","0.000076","-8.789345","4.291245","0.000060","-0.000030","0.000264",
"36720","0.011901","0.000072","-8.848679","4.320946","0.000057","-0.000028","0.000251",
"38760","0.011577","0.000068","-8.904673","4.349013","0.000054","-0.000027","0.000239",
"40800","0.011276","0.000064","-8.957919","4.375673","0.000051","-0.000025","0.000228",
"42840","0.010998","0.000061","-9.008399","4.400987","0.000048","-0.000024","0.000218",
"44880","0.010740","0.000058","-9.056446","4.425048","0.000046","-0.000023","0.000209",
"46920","0.010498","0.000056","-9.102367","4.448047","0.000044","-0.000022","0.000201",
"48960","0.010272","0.000053","-9.146318","4.470062","0.000042","-0.000021","0.000193",
"51000","0.010060","0.000051","-9.188478","4.491182","0.000040","-0.000020","0.000186",
"53040","0.009860","0.000049","-9.229048","4.511508","0.000039","-0.000019","0.000180",
"55080","0.009672","0.000047","-9.267958","4.530963","0.000037","-0.000019","0.000174",
"57120","0.009495","0.000046","-9.305230","4.549642","0.000036","-0.000018","0.000168",
"59160","0.009327","0.000044","-9.341422","4.567781","0.000035","-0.000017","0.000163",
"61200","0.009166","0.000042","-9.376441","4.585290","0.000034","-0.000017","0.000158",
"63240","0.009015","0.000041","-9.409928","4.602077","0.000033","-0.000016","0.000153",
"65280","0.008869","0.000040","-9.443002","4.618614","0.000031","-0.000016","0.000149",
"67320","0.008733","0.000039","-9.474161","4.634239","0.000031","-0.000015","0.000145",
"69360","0.008599","0.000037","-9.505289","4.649803","0.000030","-0.000015","0.000141",
"71400","0.008475","0.000036","-9.534572","4.664492","0.000029","-0.000014","0.000137",
"73440","0.008353","0.000035","-9.563754","4.679083","0.000028","-0.000014","0.000134",
"75480","0.008238","0.000034","-9.591703","4.693105","0.000027","-0.000014","0.000131",
"77520","0.008128","0.000033","-9.618940","4.706724","0.000026","-0.000013","0.000127",
"79560","0.008019","0.000032","-9.646177","4.720342","0.000026","-0.000013","0.000124",
"81600","0.007919","0.000032","-9.671513","4.733061","0.000025","-0.000013","0.000122",
"83640","0.007820","0.000031","-9.696804","4.745707","0.000025","-0.000012","0.000119",
"85680","0.007723","0.000030","-9.722095","4.758352","0.000024","-0.000012","0.000116",
"87720","0.007633","0.000029","-9.745640","4.770176","0.000023","-0.000012","0.000114",
"89760","0.007545","0.000029","-9.768986","4.781849","0.000023","-0.000011","0.000112",
"91800","0.007458","0.000028","-9.792332","4.793522","0.000022","-0.000011","0.000109",
"93840","0.007374","0.000027","-9.815123","4.804973","0.000022","-0.000011","0.000107",
"95880","0.007296","0.000027","-9.836523","4.815673","0.000021","-0.000011","0.000105",
"97920","0.007219","0.000026","-9.857924","4.826373","0.000021","-0.000010","0.000103",
"99960","0.007143","0.000026","-9.879324","4.837073","0.000020","-0.000010","0.000101",
"99999","0.007141","0.000026","-9.879733","4.837278","0.000020","-0.000010","0.000101",
