"training index","error","cost"
"0","0.631967","0.218576"
"10612","0.053973","0.001464"
"21224","0.037203","0.000696"
"31836","0.030026","0.000453"
"42448","0.025824","0.000335"
"53060","0.022988","0.000266"
"63672","0.020913","0.000220"
"74284","0.019310","0.000187"
"84896","0.018026","0.000163"
"95508","0.016966","0.000145"
"106120","0.016076","0.000130"
"116732","0.015311","0.000118"
"127344","0.014642","0.000108"
"137956","0.014062","0.000099"
"148568","0.013539","0.000092"
"159180","0.013076","0.000086"
"169792","0.012649","0.000080"
"180404","0.012274","0.000076"
"191016","0.011911","0.000071"
"201628","0.011591","0.000068"
"212240","0.011301","0.000064"
"222852","0.011027","0.000061"
"233464","0.010764","0.000058"
"244076","0.010523","0.000056"
"254688","0.010309","0.000053"
"265300","0.010104","0.000051"
"275912","0.009903","0.000049"
"286524","0.009706","0.000047"
"297136","0.009516","0.000046"
"307748","0.009344","0.000044"
"318360","0.009197","0.000043"
"328972","0.009053","0.000041"
"339584","0.008913","0.000040"
"350196","0.008782","0.000039"
"360808","0.008653","0.000038"
"371420","0.008527","0.000037"
"382032","0.008402","0.000035"
"392644","0.008279","0.000034"
"403256","0.008164","0.000034"
"413868","0.008052","0.000033"
"424480","0.007943","0.000032"
"435092","0.007849","0.000031"
"445704","0.007755","0.000030"
"456316","0.007673","0.000030"
"466928","0.007596","0.000029"
"477540","0.007520","0.000028"
"488152","0.007445","0.000028"
"498764","0.007370","0.000027"
"509376","0.007296","0.000027"
"519988","0.007223","0.000026"
"519999","0.007223","0.000026"
