"Input sRGB u8","Input sRGB f32","Linear u8","Linear f32","Actual Linear f32","Linear Error","Output sRGB u8","Output sRGB f32","Output Error"
0,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000
1,0.003922,0,0.000000,0.000015,0.000015,0,0.000000,0.003922
2,0.007843,0,0.000000,0.000062,0.000062,0,0.000000,0.007843
3,0.011765,0,0.000000,0.000138,0.000138,0,0.000000,0.011765
4,0.015686,0,0.000000,0.000246,0.000246,0,0.000000,0.015686
5,0.019608,0,0.000000,0.000384,0.000384,0,0.000000,0.019608
6,0.023529,0,0.000000,0.000554,0.000554,0,0.000000,0.023529
7,0.027451,0,0.000000,0.000754,0.000754,0,0.000000,0.027451
8,0.031373,0,0.000000,0.000984,0.000984,0,0.000000,0.031373
9,0.035294,0,0.000000,0.001246,0.001246,0,0.000000,0.035294
10,0.039216,0,0.000000,0.001538,0.001538,0,0.000000,0.039216
11,0.043137,0,0.000000,0.001861,0.001861,0,0.000000,0.043137
12,0.047059,0,0.000000,0.002215,0.002215,0,0.000000,0.047059
13,0.050980,0,0.000000,0.002599,0.002599,0,0.000000,0.050980
14,0.054902,0,0.000000,0.003014,0.003014,0,0.000000,0.054902
15,0.058824,0,0.000000,0.003460,0.003460,0,0.000000,0.058824
16,0.062745,1,0.003922,0.003937,0.000015,15,0.062622,0.000123
17,0.066667,1,0.003922,0.004444,0.000523,15,0.062622,0.004044
18,0.070588,1,0.003922,0.004983,0.001061,15,0.062622,0.007966
19,0.074510,1,0.003922,0.005552,0.001630,15,0.062622,0.011887
20,0.078431,1,0.003922,0.006151,0.002230,15,0.062622,0.015809
21,0.082353,1,0.003922,0.006782,0.002860,15,0.062622,0.019731
22,0.086275,1,0.003922,0.007443,0.003522,15,0.062622,0.023652
23,0.090196,2,0.007843,0.008135,0.000292,22,0.088561,0.001635
24,0.094118,2,0.007843,0.008858,0.001015,22,0.088561,0.005556
25,0.098039,2,0.007843,0.009612,0.001769,22,0.088561,0.009478
26,0.101961,2,0.007843,0.010396,0.002553,22,0.088561,0.013399
27,0.105882,2,0.007843,0.011211,0.003368,22,0.088561,0.017321
28,0.109804,3,0.011765,0.012057,0.000292,27,0.108465,0.001339
29,0.113725,3,0.011765,0.012933,0.001169,27,0.108465,0.005260
30,0.117647,3,0.011765,0.013841,0.002076,27,0.108465,0.009182
31,0.121569,3,0.011765,0.014779,0.003014,27,0.108465,0.013103
32,0.125490,4,0.015686,0.015748,0.000062,31,0.125245,0.000245
33,0.129412,4,0.015686,0.016747,0.001061,31,0.125245,0.004167
34,0.133333,4,0.015686,0.017778,0.002092,31,0.125245,0.008088
35,0.137255,4,0.015686,0.018839,0.003153,31,0.125245,0.012010
36,0.141176,5,0.019608,0.019931,0.000323,35,0.140028,0.001148
37,0.145098,5,0.019608,0.021053,0.001446,35,0.140028,0.005070
38,0.149020,5,0.019608,0.022207,0.002599,35,0.140028,0.008992
39,0.152941,5,0.019608,0.023391,0.003783,35,0.140028,0.012913
40,0.156863,6,0.023529,0.024606,0.001077,39,0.153393,0.003470
41,0.160784,6,0.023529,0.025852,0.002322,39,0.153393,0.007391
42,0.164706,6,0.023529,0.027128,0.003599,39,0.153393,0.011313
43,0.168627,7,0.027451,0.028435,0.000984,42,0.165683,0.002944
44,0.172549,7,0.027451,0.029773,0.002322,42,0.165683,0.006866
45,0.176471,7,0.027451,0.031142,0.003691,42,0.165683,0.010787
46,0.180392,8,0.031373,0.032541,0.001169,45,0.177123,0.003269
47,0.184314,8,0.031373,0.033972,0.002599,45,0.177123,0.007191
48,0.188235,9,0.035294,0.035433,0.000138,47,0.187867,0.000368
49,0.192157,9,0.035294,0.036924,0.001630,47,0.187867,0.004290
50,0.196078,9,0.035294,0.038447,0.003153,47,0.187867,0.008211
51,0.200000,10,0.039216,0.040000,0.000784,50,0.198030,0.001970
52,0.203922,10,0.039216,0.041584,0.002368,50,0.198030,0.005892
53,0.207843,11,0.043137,0.043199,0.000062,52,0.207695,0.000148
54,0.211765,11,0.043137,0.044844,0.001707,52,0.207695,0.004070
55,0.215686,11,0.043137,0.046521,0.003383,52,0.207695,0.007991
56,0.219608,12,0.047059,0.048228,0.001169,55,0.216930,0.002677
57,0.223529,12,0.047059,0.049965,0.002907,55,0.216930,0.006599
58,0.227451,13,0.050980,0.051734,0.000754,57,0.225788,0.001663
59,0.231373,13,0.050980,0.053533,0.002553,57,0.225788,0.005584
60,0.235294,14,0.054902,0.055363,0.000461,59,0.234312,0.000982
61,0.239216,14,0.054902,0.057224,0.002322,59,0.234312,0.004904
62,0.243137,15,0.058824,0.059116,0.000292,61,0.242536,0.000602
63,0.247059,15,0.058824,0.061038,0.002215,61,0.242536,0.004523
64,0.250980,16,0.062745,0.062991,0.000246,63,0.250490,0.000491
65,0.254902,16,0.062745,0.064975,0.002230,63,0.250490,0.004412
66,0.258824,17,0.066667,0.066990,0.000323,65,0.258199,0.000625
67,0.262745,17,0.066667,0.069035,0.002368,65,0.258199,0.004546
68,0.266667,18,0.070588,0.071111,0.000523,67,0.265684,0.000982
69,0.270588,18,0.070588,0.073218,0.002630,67,0.265684,0.004904
70,0.274510,19,0.074510,0.075356,0.000846,69,0.272965,0.001545
71,0.278431,19,0.074510,0.077524,0.003014,69,0.272965,0.005467
72,0.282353,20,0.078431,0.079723,0.001292,71,0.280056,0.002297
73,0.286275,20,0.078431,0.081953,0.003522,71,0.280056,0.006218
74,0.290196,21,0.082353,0.084214,0.001861,73,0.286972,0.003224
75,0.294118,22,0.086275,0.086505,0.000231,74,0.293725,0.000392
76,0.298039,22,0.086275,0.088827,0.002553,74,0.293725,0.004314
77,0.301961,23,0.090196,0.091180,0.000984,76,0.300327,0.001634
78,0.305882,23,0.090196,0.093564,0.003368,76,0.300327,0.005556
79,0.309804,24,0.094118,0.095978,0.001861,78,0.306786,0.003018
80,0.313726,25,0.098039,0.098424,0.000384,79,0.313112,0.000613
81,0.317647,25,0.098039,0.100900,0.002860,79,0.313112,0.004535
82,0.321569,26,0.101961,0.103406,0.001446,81,0.319313,0.002256
83,0.325490,27,0.105882,0.105944,0.000062,82,0.325396,0.000095
84,0.329412,27,0.105882,0.108512,0.002630,82,0.325396,0.004016
85,0.333333,28,0.109804,0.111111,0.001307,84,0.331367,0.001967
86,0.337255,29,0.113725,0.113741,0.000015,85,0.337232,0.000023
87,0.341176,29,0.113725,0.116401,0.002676,85,0.337232,0.003944
88,0.345098,30,0.117647,0.119093,0.001446,87,0.342997,0.002101
89,0.349020,31,0.121569,0.121815,0.000246,88,0.348667,0.000353
90,0.352941,31,0.121569,0.124567,0.002999,88,0.348667,0.004274
91,0.356863,32,0.125490,0.127351,0.001861,90,0.354246,0.002617
92,0.360784,33,0.129412,0.130165,0.000754,91,0.359738,0.001046
93,0.364706,33,0.129412,0.133010,0.003599,91,0.359738,0.004967
94,0.368627,34,0.133333,0.135886,0.002553,93,0.365148,0.003479
95,0.372549,35,0.137255,0.138793,0.001538,94,0.370479,0.002070
96,0.376471,36,0.141176,0.141730,0.000554,95,0.375735,0.000736
97,0.380392,36,0.141176,0.144698,0.003522,95,0.375735,0.004658
98,0.384314,37,0.145098,0.147697,0.002599,97,0.380917,0.003396
99,0.388235,38,0.149020,0.150727,0.001707,98,0.386031,0.002205
100,0.392157,39,0.152941,0.153787,0.000846,99,0.391077,0.001080
101,0.396078,40,0.156863,0.156878,0.000015,100,0.396059,0.000019
102,0.400000,40,0.156863,0.160000,0.003137,100,0.396059,0.003941
103,0.403922,41,0.160784,0.163153,0.002368,102,0.400979,0.002942
104,0.407843,42,0.164706,0.166336,0.001630,103,0.405840,0.002003
105,0.411765,43,0.168627,0.169550,0.000923,104,0.410643,0.001122
106,0.415686,44,0.172549,0.172795,0.000246,105,0.415390,0.000296
107,0.419608,44,0.172549,0.176071,0.003522,105,0.415390,0.004218
108,0.423529,45,0.176471,0.179377,0.002907,107,0.420084,0.003445
109,0.427451,46,0.180392,0.182714,0.002322,108,0.424726,0.002725
