"Input sRGB u8","Input sRGB f32","Linear u8","Linear f32","Actual Linear f32","Linear Error","Output sRGB u8","Output sRGB f32","Output Error"
0,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000
1,0.003922,0,0.000000,0.000304,0.000304,0,0.000000,0.003922
2,0.007843,0,0.000000,0.000607,0.000607,0,0.000000,0.007843
3,0.011765,0,0.000000,0.000911,0.000911,0,0.000000,0.011765
4,0.015686,0,0.000000,0.001214,0.001214,0,0.000000,0.015686
5,0.019608,0,0.000000,0.001518,0.001518,0,0.000000,0.019608
6,0.023529,0,0.000000,0.001821,0.001821,0,0.000000,0.023529
7,0.027451,0,0.000000,0.002125,0.002125,0,0.000000,0.027451
8,0.031373,0,0.000000,0.002428,0.002428,0,0.000000,0.031373
9,0.035294,0,0.000000,0.002732,0.002732,0,0.000000,0.035294
10,0.039216,0,0.000000,0.003035,0.003035,0,0.000000,0.039216
11,0.043137,1,0.003922,0.005381,0.001460,7,0.029991,0.013147
12,0.047059,1,0.003922,0.005866,0.001944,7,0.029991,0.017068
13,0.050980,1,0.003922,0.006373,0.002451,7,0.029991,0.020990
14,0.054902,1,0.003922,0.006903,0.002982,7,0.029991,0.024911
15,0.058824,1,0.003922,0.007457,0.003535,7,0.029991,0.028833
16,0.062745,2,0.007843,0.008034,0.000191,15,0.061467,0.001278
17,0.066667,2,0.007843,0.008634,0.000791,15,0.061467,0.005200
18,0.070588,2,0.007843,0.009258,0.001415,15,0.061467,0.009121
19,0.074510,2,0.007843,0.009906,0.002063,15,0.061467,0.013043
20,0.078431,2,0.007843,0.010578,0.002735,15,0.061467,0.016965
21,0.082353,2,0.007843,0.011274,0.003431,15,0.061467,0.020886
22,0.086275,3,0.011765,0.011995,0.000230,21,0.085037,0.001237
23,0.090196,3,0.011765,0.012739,0.000975,21,0.085037,0.005159
24,0.094118,3,0.011765,0.013509,0.001744,21,0.085037,0.009080
25,0.098039,3,0.011765,0.014302,0.002538,21,0.085037,0.013002
26,0.101961,3,0.011765,0.015121,0.003356,21,0.085037,0.016923
27,0.105882,4,0.015686,0.015965,0.000279,26,0.104600,0.001282
28,0.109804,4,0.015686,0.016833,0.001147,26,0.104600,0.005203
29,0.113725,4,0.015686,0.017727,0.002041,26,0.104600,0.009125
30,0.117647,4,0.015686,0.018646,0.002960,26,0.104600,0.013047
31,0.121569,4,0.015686,0.019591,0.003905,26,0.104600,0.016968
32,0.125490,5,0.019608,0.020561,0.000953,31,0.121638,0.003852
33,0.129412,5,0.019608,0.021557,0.001949,31,0.121638,0.007774
34,0.133333,5,0.019608,0.022578,0.002970,31,0.121638,0.011695
35,0.137255,6,0.023529,0.023625,0.000096,34,0.136900,0.000355
36,0.141176,6,0.023529,0.024698,0.001169,34,0.136900,0.004276
37,0.145098,6,0.023529,0.025798,0.002268,34,0.136900,0.008198
38,0.149020,6,0.023529,0.026923,0.003394,34,0.136900,0.012119
39,0.152941,7,0.027451,0.028075,0.000624,38,0.150829,0.002112
40,0.156863,7,0.027451,0.029253,0.001802,38,0.150829,0.006034
41,0.160784,7,0.027451,0.030457,0.003006,38,0.150829,0.009956
42,0.164706,8,0.031373,0.031688,0.000316,41,0.163709,0.000997
43,0.168627,8,0.031373,0.032946,0.001573,41,0.163709,0.004919
44,0.172549,8,0.031373,0.034230,0.002858,41,0.163709,0.008840
45,0.176471,9,0.035294,0.035541,0.000247,44,0.175737,0.000734
46,0.180392,9,0.035294,0.036880,0.001586,44,0.175737,0.004655
47,0.184314,9,0.035294,0.038245,0.002951,44,0.175737,0.008577
48,0.188235,10,0.039216,0.039637,0.000422,47,0.187056,0.001179
49,0.192157,10,0.039216,0.041057,0.001841,47,0.187056,0.005101
50,0.196078,10,0.039216,0.042504,0.003288,47,0.187056,0.009022
51,0.200000,11,0.043137,0.043978,0.000840,50,0.197773,0.002227
52,0.203922,11,0.043137,0.045479,0.002342,50,0.197773,0.006148
53,0.207843,11,0.043137,0.047009,0.003871,50,0.197773,0.010070
54,0.211765,12,0.047059,0.048565,0.001507,53,0.207971,0.003794
55,0.215686,12,0.047059,0.050150,0.003091,53,0.207971,0.007716
56,0.219608,13,0.050980,0.051762,0.000782,55,0.217715,0.001893
57,0.223529,13,0.050980,0.053402,0.002422,55,0.217715,0.005815
58,0.227451,14,0.054902,0.055071,0.000169,57,0.227058,0.000393
59,0.231373,14,0.054902,0.056767,0.001865,57,0.227058,0.004315
60,0.235294,14,0.054902,0.058491,0.003589,57,0.227058,0.008237
61,0.239216,15,0.058824,0.060243,0.001420,60,0.236043,0.003172
62,0.243137,15,0.058824,0.062024,0.003201,60,0.236043,0.007094
63,0.247059,16,0.062745,0.063833,0.001088,62,0.244708,0.002351
64,0.250980,16,0.062745,0.065671,0.002925,62,0.244708,0.006273
65,0.254902,17,0.066667,0.067536,0.000870,64,0.253081,0.001821
66,0.258824,17,0.066667,0.069431,0.002764,64,0.253081,0.005742
67,0.262745,18,0.070588,0.071354,0.000766,66,0.261191,0.001555
68,0.266667,18,0.070588,0.073306,0.002718,66,0.261191,0.005476
69,0.270588,19,0.074510,0.075286,0.000776,68,0.269058,0.001531
70,0.274510,19,0.074510,0.077296,0.002786,68,0.269058,0.005452
71,0.278431,20,0.078431,0.079334,0.000903,70,0.276702,0.001730
72,0.282353,20,0.078431,0.081401,0.002970,70,0.276702,0.005651
73,0.286275,21,0.082353,0.083497,0.001144,72,0.284140,0.002134
74,0.290196,21,0.082353,0.085623,0.003270,72,0.284140,0.006056
75,0.294118,22,0.086275,0.087777,0.001503,74,0.291388,0.002730
76,0.298039,22,0.086275,0.089961,0.003687,74,0.291388,0.006651
77,0.301961,23,0.090196,0.092174,0.001978,76,0.298458,0.003503
78,0.305882,24,0.094118,0.094417,0.000299,77,0.305362,0.000520
79,0.309804,24,0.094118,0.096689,0.002571,77,0.305362,0.004442
80,0.313726,25,0.098039,0.098990,0.000951,79,0.312111,0.001614
81,0.317647,25,0.098039,0.101321,0.003282,79,0.312111,0.005536
82,0.321569,26,0.101961,0.103682,0.001721,81,0.318715,0.002854
83,0.325490,27,0.105882,0.106072,0.000190,82,0.325181,0.000309
84,0.329412,27,0.105882,0.108492,0.002610,82,0.325181,0.004231
85,0.333333,28,0.109804,0.110942,0.001138,84,0.331518,0.001815
86,0.337255,28,0.109804,0.113421,0.003618,84,0.331518,0.005737
87,0.341176,29,0.113725,0.115931,0.002206,86,0.337733,0.003444
88,0.345098,30,0.117647,0.118471,0.000824,87,0.343831,0.001267
89,0.349020,30,0.117647,0.121040,0.003393,87,0.343831,0.005188
90,0.352941,31,0.121569,0.123640,0.002071,89,0.349820,0.003121
91,0.356863,32,0.125490,0.126270,0.000780,90,0.355705,0.001158
92,0.360784,32,0.125490,0.128930,0.003440,90,0.355705,0.005080
93,0.364706,33,0.129412,0.131621,0.002209,92,0.361490,0.003216
94,0.368627,34,0.133333,0.134341,0.001008,93,0.367180,0.001448
95,0.372549,34,0.133333,0.137092,0.003759,93,0.367180,0.005369
96,0.376471,35,0.137255,0.139874,0.002619,95,0.372779,0.003691
97,0.380392,36,0.141176,0.142686,0.001510,96,0.378292,0.002100
98,0.384314,37,0.145098,0.145529,0.000431,97,0.383722,0.000592
99,0.388235,37,0.145098,0.148402,0.003304,97,0.383722,0.004513
100,0.392157,38,0.149020,0.151306,0.002286,99,0.389073,0.003084
101,0.396078,39,0.152941,0.154241,0.001300,100,0.394347,0.001732
102,0.400000,40,0.156863,0.157206,0.000343,101,0.399548,0.000452
103,0.403922,40,0.156863,0.160203,0.003340,101,0.399548,0.004374
104,0.407843,41,0.160784,0.163230,0.002445,103,0.404678,0.003165
105,0.411765,42,0.164706,0.166288,0.001582,104,0.409741,0.002024
106,0.415686,43,0.168627,0.169377,0.000749,105,0.414739,0.000948
107,0.419608,43,0.168627,0.172497,0.003870,105,0.414739,0.004869
108,0.423529,44,0.172549,0.175648,0.003099,107,0.419673,0.003856
